region,period,total,year,month
total national,2025-02,6.16,2025,2
total national,2025-01,7.33,2025,1
total national,2024-12,6.29,2024,12
total national,2024-11,5.76,2024,11
total national,2024-10,4.54,2024,10
total national,2024-09,4.53,2024,9
total national,2024-08,5.28,2024,8
total national,2024-07,5.01,2024,7
total national,2024-06,4.07,2024,6
total national,2024-05,3.93,2024,5
total national,2024-04,4.23,2024,4
total national,2024-03,4.32,2024,3
total national,2024-02,6.47,2024,2
total national,2024-01,7.65,2024,1
total national,2023-12,6.14,2023,12
total national,2023-11,5.78,2023,11
total national,2023-10,4.49,2023,10
total national,2023-09,4.35,2023,9
total national,2023-08,5.18,2023,8
total national,2023-07,4.73,2023,7
total national,2023-06,3.94,2023,6
total national,2023-05,4.23,2023,5
total national,2023-04,3.84,2023,4
total national,2023-03,4.87,2023,3
total national,2023-02,6.41,2023,2
total national,2023-01,7.24,2023,1
total national,2022-12,6.3,2022,12
total national,2022-11,5.65,2022,11
total national,2022-10,4.34,2022,10
total national,2022-09,4.38,2022,9
total national,2022-08,5.33,2022,8
total national,2022-07,4.81,2022,7
total national,2022-06,3.95,2022,6
total national,2022-05,3.9,2022,5
total national,2022-04,3.89,2022,4
total national,2022-03,5.18,2022,3
total national,2022-02,5.89,2022,2
total national,2022-01,7.07,2022,1
total national,2021-12,6.21,2021,12
total national,2021-11,5.68,2021,11
total national,2021-10,4.14,2021,10
total national,2021-09,4.42,2021,9
total national,2021-08,5.0,2021,8
total national,2021-07,4.39,2021,7
total national,2021-06,3.72,2021,6
total national,2021-05,3.4,2021,5
total national,2021-04,4.25,2021,4
total national,2021-03,4.52,2021,3
total national,2021-02,9.76,2021,2
total national,2021-01,12.13,2021,1
total national,2020-12,7.7,2020,12
total national,2020-11,10.85,2020,11
total national,2020-10,4.08,2020,10
total national,2020-09,4.05,2020,9
total national,2020-08,4.82,2020,8
total national,2020-07,4.3,2020,7
total national,2020-06,3.51,2020,6
total national,2020-05,6.0,2020,5
total national,2020-04,0.0,2020,4
total national,2020-03,8.83,2020,3
total national,2020-02,6.24,2020,2
total national,2020-01,8.18,2020,1
total national,2019-12,6.63,2019,12
total national,2019-11,5.76,2019,11
total national,2019-10,4.57,2019,10
total national,2019-09,4.79,2019,9
total national,2019-08,5.25,2019,8
total national,2019-07,5.13,2019,7
total national,2019-06,3.99,2019,6
total national,2019-05,3.97,2019,5
total national,2019-04,4.17,2019,4
total national,2019-03,4.8,2019,3
total national,2019-02,6.92,2019,2
total national,2019-01,8.78,2019,1
total national,2018-12,6.84,2018,12
total national,2018-11,6.13,2018,11
total national,2018-10,4.78,2018,10
total national,2018-09,4.52,2018,9
total national,2018-08,5.36,2018,8
total national,2018-07,5.03,2018,7
total national,2018-06,4.03,2018,6
total national,2018-05,4.43,2018,5
total national,2018-04,4.32,2018,4
total national,2018-03,4.54,2018,3
total national,2018-02,7.39,2018,2
total national,2018-01,8.81,2018,1
total national,2017-12,6.94,2017,12
total national,2017-11,6.42,2017,11
total national,2017-10,4.83,2017,10
total national,2017-09,4.49,2017,9
total national,2017-08,5.46,2017,8
total national,2017-07,4.94,2017,7
total national,2017-06,3.94,2017,6
total national,2017-05,4.2,2017,5
total national,2017-04,3.88,2017,4
total national,2017-03,5.18,2017,3
total national,2017-02,7.22,2017,2
total national,2017-01,8.45,2017,1
total national,2016-12,6.93,2016,12
total national,2016-11,6.44,2016,11
total national,2016-10,4.87,2016,10
total national,2016-09,4.56,2016,9
total national,2016-08,5.41,2016,8
total national,2016-07,4.79,2016,7
total national,2016-06,4.1,2016,6
total national,2016-05,4.31,2016,5
total national,2016-04,4.24,2016,4
total national,2016-03,4.54,2016,3
total national,2016-02,7.21,2016,2
total national,2016-01,7.78,2016,1
total national,2015-12,6.99,2015,12
total national,2015-11,6.46,2015,11
total national,2015-10,4.88,2015,10
total national,2015-09,5.05,2015,9
total national,2015-08,5.51,2015,8
total national,2015-07,5.16,2015,7
total national,2015-06,4.13,2015,6
total national,2015-05,4.12,2015,5
total national,2015-04,4.14,2015,4
total national,2015-03,5.16,2015,3
total national,2015-02,7.95,2015,2
total national,2015-01,8.6,2015,1
total national,2014-12,6.8,2014,12
total national,2014-11,6.12,2014,11
total national,2014-10,5.02,2014,10
total national,2014-09,4.98,2014,9
total national,2014-08,5.4,2014,8
total national,2014-07,5.21,2014,7
total national,2014-06,4.24,2014,6
total national,2014-05,4.05,2014,5
total national,2014-04,3.99,2014,4
total national,2014-03,5.44,2014,3
total national,2014-02,7.89,2014,2
total national,2014-01,9.38,2014,1
total national,2013-12,7.59,2013,12
total national,2013-11,6.23,2013,11
total national,2013-10,4.9,2013,10
total national,2013-09,4.86,2013,9
total national,2013-08,5.51,2013,8
total national,2013-07,5.35,2013,7
total national,2013-06,4.2,2013,6
total national,2013-05,4.25,2013,5
total national,2013-04,4.13,2013,4
total national,2013-03,4.67,2013,3
total national,2013-02,8.2,2013,2
total national,2013-01,9.57,2013,1
total national,2012-12,7.73,2012,12
total national,2012-11,6.62,2012,11
total national,2012-10,5.21,2012,10
total national,2012-09,4.87,2012,9
total national,2012-08,5.74,2012,8
total national,2012-07,5.41,2012,7
total national,2012-06,4.22,2012,6
total national,2012-05,4.36,2012,5
total national,2012-04,4.11,2012,4
total national,2012-03,5.24,2012,3
total national,2012-02,8.39,2012,2
total national,2012-01,9.21,2012,1
total national,2011-12,7.52,2011,12
total national,2011-11,6.56,2011,11
total national,2011-10,4.91,2011,10
total national,2011-09,4.77,2011,9
total national,2011-08,5.63,2011,8
total national,2011-07,5.03,2011,7
total national,2011-06,4.34,2011,6
total national,2011-05,4.37,2011,5
total national,2011-04,3.99,2011,4
total national,2011-03,5.53,2011,3
total national,2011-02,7.42,2011,2
total national,2011-01,8.89,2011,1
total national,2010-12,7.46,2010,12
total national,2010-11,7.18,2010,11
total national,2010-10,4.83,2010,10
total national,2010-09,4.66,2010,9
total national,2010-08,5.41,2010,8
total national,2010-07,4.95,2010,7
total national,2010-06,4.24,2010,6
total national,2010-05,4.08,2010,5
total national,2010-04,4.02,2010,4
total national,2010-03,5.03,2010,3
total national,2010-02,7.96,2010,2
total national,2010-01,8.94,2010,1
total national,2009-12,7.42,2009,12
total national,2009-11,6.47,2009,11
total national,2009-10,4.52,2009,10
total national,2009-09,4.8,2009,9
total national,2009-08,5.35,2009,8
total national,2009-07,4.9,2009,7
total national,2009-06,4.07,2009,6
total national,2009-05,3.93,2009,5
total national,2009-04,3.8,2009,4
total national,2009-03,5.23,2009,3
total national,2009-02,7.26,2009,2
total national,2009-01,8.57,2009,1
total national,2008-12,6.82,2008,12
total national,2008-11,6.06,2008,11
total national,2008-10,4.96,2008,10
total national,2008-09,4.62,2008,9
total national,2008-08,5.26,2008,8
total national,2008-07,5.12,2008,7
total national,2008-06,3.96,2008,6
total national,2008-05,4.14,2008,5
total national,2008-04,4.04,2008,4
total national,2008-03,4.66,2008,3
total national,2008-02,6.63,2008,2
total national,2008-01,8.16,2008,1
total national,2007-12,6.59,2007,12
total national,2007-11,5.38,2007,11
total national,2007-10,4.6,2007,10
total national,2007-09,4.44,2007,9
total national,2007-08,5.33,2007,8
total national,2007-07,5.01,2007,7
total national,2007-06,3.8,2007,6
total national,2007-05,4.01,2007,5
total national,2007-04,3.86,2007,4
total national,2007-03,4.71,2007,3
total national,2007-02,7.0,2007,2
total national,2007-01,8.28,2007,1
total national,2006-12,5.86,2006,12
total national,2006-11,5.6,2006,11
total national,2006-10,4.6,2006,10
total national,2006-09,4.41,2006,9
total national,2006-08,5.52,2006,8
total national,2006-07,4.83,2006,7
total national,2006-06,3.82,2006,6
total national,2006-05,3.92,2006,5
total national,2006-04,3.62,2006,4
total national,2006-03,5.0,2006,3
total national,2006-02,6.79,2006,2
total national,2006-01,8.16,2006,1
total national,2005-12,6.9,2005,12
total national,2005-11,5.91,2005,11
total national,2005-10,4.39,2005,10
total national,2005-09,4.38,2005,9
total national,2005-08,5.23,2005,8
total national,2005-07,4.78,2005,7
total national,2005-06,3.85,2005,6
total national,2005-05,3.66,2005,5
total national,2005-04,3.41,2005,4
total national,2005-03,4.64,2005,3
total national,2005-02,7.3,2005,2
total national,2005-01,7.88,2005,1
total national,2004-12,6.82,2004,12
total national,2004-11,5.56,2004,11
total national,2004-10,4.11,2004,10
total national,2004-09,4.06,2004,9
total national,2004-08,4.95,2004,8
total national,2004-07,4.67,2004,7
total national,2004-06,3.64,2004,6
total national,2004-05,3.46,2004,5
total national,2004-04,3.56,2004,4
total national,2004-03,5.3,2004,3
total national,2004-02,6.88,2004,2
total national,2004-01,6.96,2004,1
total national,2003-12,6.53,2003,12
total national,2003-11,5.59,2003,11
total national,2003-10,4.34,2003,10
total national,2003-09,4.01,2003,9
total national,2003-08,4.78,2003,8
total national,2003-07,4.56,2003,7
total national,2003-06,3.52,2003,6
total national,2003-05,3.34,2003,5
total national,2003-04,3.48,2003,4
total national,2003-03,5.17,2003,3
total national,2003-02,6.48,2003,2
total national,2003-01,7.09,2003,1
total national,2002-12,6.72,2002,12
total national,2002-11,5.55,2002,11
total national,2002-10,4.15,2002,10
total national,2002-09,4.88,2002,9
total national,2002-08,6.21,2002,8
total national,2002-07,5.31,2002,7
total national,2002-06,3.73,2002,6
total national,2002-05,3.64,2002,5
total national,2002-04,3.72,2002,4
total national,2002-03,4.55,2002,3
total national,2002-02,7.1,2002,2
total national,2002-01,8.51,2002,1
total national,2001-12,7.23,2001,12
total national,2001-11,6.24,2001,11
total national,2001-10,4.42,2001,10
total national,2001-09,4.69,2001,9
total national,2001-08,5.86,2001,8
total national,2001-07,5.16,2001,7
total national,2001-06,3.71,2001,6
total national,2001-05,3.69,2001,5
total national,2001-04,3.6,2001,4
total national,2001-03,5.01,2001,3
total national,2001-02,7.03,2001,2
total national,2001-01,8.24,2001,1
total national,2000-12,6.0,2000,12
total national,2000-11,6.0,2000,11
total national,2000-10,4.0,2000,10
total national,2000-09,4.63,2000,9
total national,2000-08,5.0,2000,8
total national,2000-07,5.0,2000,7
total national,2000-06,4.0,2000,6
total national,2000-05,3.0,2000,5
total national,2000-04,3.0,2000,4
total national,2000-03,5.0,2000,3
total national,2000-02,5.0,2000,2
total national,2000-01,7.0,2000,1
total national,1999-12,6.5,1999,12
total national,1999-11,5.62,1999,11
total national,1999-10,4.17,1999,10
total national,1999-09,4.34,1999,9
total national,1999-08,5.61,1999,8
total national,1999-07,5.22,1999,7
total national,1999-06,4.08,1999,6
total national,1999-05,3.45,1999,5
total national,1999-04,3.83,1999,4
total national,1999-03,4.29,1999,3
total national,1999-02,6.02,1999,2
total national,1999-01,7.51,1999,1
01 andalucã­a,2025-02,5.37,2025,2
01 andalucã­a,2025-01,5.76,2025,1
01 andalucã­a,2024-12,6.94,2024,12
01 andalucã­a,2024-11,6.06,2024,11
01 andalucã­a,2024-10,4.13,2024,10
01 andalucã­a,2024-09,3.95,2024,9
01 andalucã­a,2024-08,4.63,2024,8
01 andalucã­a,2024-07,4.04,2024,7
01 andalucã­a,2024-06,3.71,2024,6
01 andalucã­a,2024-05,3.53,2024,5
01 andalucã­a,2024-04,4.37,2024,4
01 andalucã­a,2024-03,5.14,2024,3
01 andalucã­a,2024-02,6.2,2024,2
01 andalucã­a,2024-01,7.65,2024,1
01 andalucã­a,2023-12,6.15,2023,12
01 andalucã­a,2023-11,5.99,2023,11
01 andalucã­a,2023-10,4.13,2023,10
01 andalucã­a,2023-09,3.71,2023,9
01 andalucã­a,2023-08,4.13,2023,8
01 andalucã­a,2023-07,3.93,2023,7
01 andalucã­a,2023-06,3.27,2023,6
01 andalucã­a,2023-05,3.78,2023,5
01 andalucã­a,2023-04,3.53,2023,4
01 andalucã­a,2023-03,5.12,2023,3
01 andalucã­a,2023-02,6.02,2023,2
01 andalucã­a,2023-01,6.38,2023,1
01 andalucã­a,2022-12,6.87,2022,12
01 andalucã­a,2022-11,5.67,2022,11
01 andalucã­a,2022-10,3.74,2022,10
01 andalucã­a,2022-09,3.73,2022,9
01 andalucã­a,2022-08,4.23,2022,8
01 andalucã­a,2022-07,3.91,2022,7
01 andalucã­a,2022-06,3.27,2022,6
01 andalucã­a,2022-05,3.26,2022,5
01 andalucã­a,2022-04,3.48,2022,4
01 andalucã­a,2022-03,5.52,2022,3
01 andalucã­a,2022-02,5.52,2022,2
01 andalucã­a,2022-01,6.9,2022,1
01 andalucã­a,2021-12,6.37,2021,12
01 andalucã­a,2021-11,5.64,2021,11
01 andalucã­a,2021-10,3.75,2021,10
01 andalucã­a,2021-09,3.41,2021,9
01 andalucã­a,2021-08,4.09,2021,8
01 andalucã­a,2021-07,3.65,2021,7
01 andalucã­a,2021-06,3.1,2021,6
01 andalucã­a,2021-05,3.27,2021,5
01 andalucã­a,2021-04,4.69,2021,4
01 andalucã­a,2021-03,5.72,2021,3
01 andalucã­a,2021-02,10.88,2021,2
01 andalucã­a,2021-01,13.12,2021,1
01 andalucã­a,2020-12,8.61,2020,12
01 andalucã­a,2020-11,17.14,2020,11
01 andalucã­a,2020-10,3.49,2020,10
01 andalucã­a,2020-09,3.4,2020,9
01 andalucã­a,2020-08,3.84,2020,8
01 andalucã­a,2020-07,3.47,2020,7
01 andalucã­a,2020-06,3.26,2020,6
01 andalucã­a,2020-05,13.16,2020,5
01 andalucã­a,2020-04,0.0,2020,4
01 andalucã­a,2020-03,8.15,2020,3
01 andalucã­a,2020-02,5.32,2020,2
01 andalucã­a,2020-01,7.55,2020,1
01 andalucã­a,2019-12,6.45,2019,12
01 andalucã­a,2019-11,5.58,2019,11
01 andalucã­a,2019-10,3.69,2019,10
01 andalucã­a,2019-09,3.77,2019,9
01 andalucã­a,2019-08,4.12,2019,8
01 andalucã­a,2019-07,3.9,2019,7
01 andalucã­a,2019-06,3.11,2019,6
01 andalucã­a,2019-05,3.22,2019,5
01 andalucã­a,2019-04,3.83,2019,4
01 andalucã­a,2019-03,5.12,2019,3
01 andalucã­a,2019-02,6.13,2019,2
01 andalucã­a,2019-01,8.19,2019,1
01 andalucã­a,2018-12,7.35,2018,12
01 andalucã­a,2018-11,6.49,2018,11
01 andalucã­a,2018-10,4.14,2018,10
01 andalucã­a,2018-09,3.75,2018,9
01 andalucã­a,2018-08,4.12,2018,8
01 andalucã­a,2018-07,3.7,2018,7
01 andalucã­a,2018-06,3.1,2018,6
01 andalucã­a,2018-05,3.35,2018,5
01 andalucã­a,2018-04,3.79,2018,4
01 andalucã­a,2018-03,5.04,2018,3
01 andalucã­a,2018-02,7.7,2018,2
01 andalucã­a,2018-01,8.75,2018,1
01 andalucã­a,2017-12,7.56,2017,12
01 andalucã­a,2017-11,6.67,2017,11
01 andalucã­a,2017-10,4.5,2017,10
01 andalucã­a,2017-09,3.51,2017,9
01 andalucã­a,2017-08,4.14,2017,8
01 andalucã­a,2017-07,3.86,2017,7
01 andalucã­a,2017-06,3.13,2017,6
01 andalucã­a,2017-05,3.22,2017,5
01 andalucã­a,2017-04,3.55,2017,4
01 andalucã­a,2017-03,5.92,2017,3
01 andalucã­a,2017-02,7.18,2017,2
01 andalucã­a,2017-01,8.32,2017,1
01 andalucã­a,2016-12,7.62,2016,12
01 andalucã­a,2016-11,6.77,2016,11
01 andalucã­a,2016-10,4.49,2016,10
01 andalucã­a,2016-09,3.49,2016,9
01 andalucã­a,2016-08,3.9,2016,8
01 andalucã­a,2016-07,3.51,2016,7
01 andalucã­a,2016-06,3.07,2016,6
01 andalucã­a,2016-05,3.56,2016,5
01 andalucã­a,2016-04,3.57,2016,4
01 andalucã­a,2016-03,4.64,2016,3
01 andalucã­a,2016-02,6.74,2016,2
01 andalucã­a,2016-01,8.2,2016,1
01 andalucã­a,2015-12,7.34,2015,12
01 andalucã­a,2015-11,6.76,2015,11
01 andalucã­a,2015-10,4.56,2015,10
01 andalucã­a,2015-09,3.67,2015,9
01 andalucã­a,2015-08,3.92,2015,8
01 andalucã­a,2015-07,3.61,2015,7
01 andalucã­a,2015-06,3.22,2015,6
01 andalucã­a,2015-05,3.37,2015,5
01 andalucã­a,2015-04,3.75,2015,4
01 andalucã­a,2015-03,5.69,2015,3
01 andalucã­a,2015-02,7.23,2015,2
01 andalucã­a,2015-01,8.1,2015,1
01 andalucã­a,2014-12,7.53,2014,12
01 andalucã­a,2014-11,6.61,2014,11
01 andalucã­a,2014-10,4.43,2014,10
01 andalucã­a,2014-09,3.73,2014,9
01 andalucã­a,2014-08,3.84,2014,8
01 andalucã­a,2014-07,3.66,2014,7
01 andalucã­a,2014-06,3.27,2014,6
01 andalucã­a,2014-05,3.49,2014,5
01 andalucã­a,2014-04,3.71,2014,4
01 andalucã­a,2014-03,6.07,2014,3
01 andalucã­a,2014-02,7.17,2014,2
01 andalucã­a,2014-01,9.37,2014,1
01 andalucã­a,2013-12,8.19,2013,12
01 andalucã­a,2013-11,6.23,2013,11
01 andalucã­a,2013-10,4.54,2013,10
01 andalucã­a,2013-09,3.76,2013,9
01 andalucã­a,2013-08,3.91,2013,8
01 andalucã­a,2013-07,3.61,2013,7
01 andalucã­a,2013-06,3.13,2013,6
01 andalucã­a,2013-05,3.33,2013,5
01 andalucã­a,2013-04,3.57,2013,4
01 andalucã­a,2013-03,5.72,2013,3
01 andalucã­a,2013-02,7.83,2013,2
01 andalucã­a,2013-01,9.92,2013,1
01 andalucã­a,2012-12,9.48,2012,12
01 andalucã­a,2012-11,8.39,2012,11
01 andalucã­a,2012-10,5.33,2012,10
01 andalucã­a,2012-09,4.06,2012,9
01 andalucã­a,2012-08,4.07,2012,8
01 andalucã­a,2012-07,3.69,2012,7
01 andalucã­a,2012-06,3.38,2012,6
01 andalucã­a,2012-05,3.91,2012,5
01 andalucã­a,2012-04,4.13,2012,4
01 andalucã­a,2012-03,6.26,2012,3
01 andalucã­a,2012-02,8.37,2012,2
01 andalucã­a,2012-01,9.27,2012,1
01 andalucã­a,2011-12,8.9,2011,12
01 andalucã­a,2011-11,8.18,2011,11
01 andalucã­a,2011-10,4.46,2011,10
01 andalucã­a,2011-09,4.04,2011,9
01 andalucã­a,2011-08,4.06,2011,8
01 andalucã­a,2011-07,3.49,2011,7
01 andalucã­a,2011-06,3.59,2011,6
01 andalucã­a,2011-05,4.22,2011,5
01 andalucã­a,2011-04,4.07,2011,4
01 andalucã­a,2011-03,6.47,2011,3
01 andalucã­a,2011-02,6.99,2011,2
01 andalucã­a,2011-01,8.94,2011,1
01 andalucã­a,2010-12,8.91,2010,12
01 andalucã­a,2010-11,8.29,2010,11
01 andalucã­a,2010-10,4.55,2010,10
01 andalucã­a,2010-09,3.87,2010,9
01 andalucã­a,2010-08,4.04,2010,8
01 andalucã­a,2010-07,3.61,2010,7
01 andalucã­a,2010-06,3.5,2010,6
01 andalucã­a,2010-05,3.87,2010,5
01 andalucã­a,2010-04,4.14,2010,4
01 andalucã­a,2010-03,5.54,2010,3
01 andalucã­a,2010-02,8.54,2010,2
01 andalucã­a,2010-01,9.23,2010,1
01 andalucã­a,2009-12,8.54,2009,12
01 andalucã­a,2009-11,7.18,2009,11
01 andalucã­a,2009-10,3.97,2009,10
01 andalucã­a,2009-09,4.01,2009,9
01 andalucã­a,2009-08,3.99,2009,8
01 andalucã­a,2009-07,3.62,2009,7
01 andalucã­a,2009-06,3.32,2009,6
01 andalucã­a,2009-05,3.46,2009,5
01 andalucã­a,2009-04,3.55,2009,4
01 andalucã­a,2009-03,5.87,2009,3
01 andalucã­a,2009-02,7.91,2009,2
01 andalucã­a,2009-01,9.32,2009,1
01 andalucã­a,2008-12,6.75,2008,12
01 andalucã­a,2008-11,6.37,2008,11
01 andalucã­a,2008-10,4.31,2008,10
01 andalucã­a,2008-09,3.66,2008,9
01 andalucã­a,2008-08,3.8,2008,8
01 andalucã­a,2008-07,3.33,2008,7
