region,period,total,year,month
total national,2025-02,2.82,2025,2
total national,2025-01,2.93,2025,1
total national,2024-12,2.75,2024,12
total national,2024-11,2.8,2024,11
total national,2024-10,3.15,2024,10
total national,2024-09,3.3,2024,9
total national,2024-08,3.53,2024,8
total national,2024-07,3.47,2024,7
total national,2024-06,3.21,2024,6
total national,2024-05,3.04,2024,5
total national,2024-04,2.89,2024,4
total national,2024-03,2.9,2024,3
total national,2024-02,2.85,2024,2
total national,2024-01,2.91,2024,1
total national,2023-12,2.72,2023,12
total national,2023-11,2.8,2023,11
total national,2023-10,3.12,2023,10
total national,2023-09,3.27,2023,9
total national,2023-08,3.52,2023,8
total national,2023-07,3.4,2023,7
total national,2023-06,3.14,2023,6
total national,2023-05,3.04,2023,5
total national,2023-04,2.85,2023,4
total national,2023-03,2.8,2023,3
total national,2023-02,2.82,2023,2
total national,2023-01,2.88,2023,1
total national,2022-12,2.75,2022,12
total national,2022-11,2.81,2022,11
total national,2022-10,3.07,2022,10
total national,2022-09,3.26,2022,9
total national,2022-08,3.58,2022,8
total national,2022-07,3.43,2022,7
total national,2022-06,3.19,2022,6
total national,2022-05,3.0,2022,5
total national,2022-04,2.9,2022,4
total national,2022-03,2.91,2022,3
total national,2022-02,2.65,2022,2
total national,2022-01,2.81,2022,1
total national,2021-12,2.71,2021,12
total national,2021-11,2.77,2021,11
total national,2021-10,2.94,2021,10
total national,2021-09,3.11,2021,9
total national,2021-08,3.31,2021,8
total national,2021-07,3.08,2021,7
total national,2021-06,2.51,2021,6
total national,2021-05,2.16,2021,5
total national,2021-04,2.12,2021,4
total national,2021-03,2.03,2021,3
total national,2021-02,2.07,2021,2
total national,2021-01,2.19,2021,1
total national,2020-12,2.29,2020,12
total national,2020-11,2.43,2020,11
total national,2020-10,2.13,2020,10
total national,2020-09,2.34,2020,9
total national,2020-08,2.86,2020,8
total national,2020-07,2.66,2020,7
total national,2020-06,1.98,2020,6
total national,2020-05,2.75,2020,5
total national,2020-04,0.0,2020,4
total national,2020-03,3.15,2020,3
total national,2020-02,2.73,2020,2
total national,2020-01,2.86,2020,1
total national,2019-12,2.72,2019,12
