region,period,total,year,month
total national,2025-02,6539960.0,2025,2
total national,2025-01,5776075.0,2025,1
total national,2024-12,6553489.0,2024,12
total national,2024-11,7171221.0,2024,11
total national,2024-10,10774309.0,2024,10
total national,2024-09,11821379.0,2024,9
total national,2024-08,13586095.0,2024,8
total national,2024-07,12703213.0,2024,7
total national,2024-06,11905082.0,2024,6
total national,2024-05,11776729.0,2024,5
total national,2024-04,9394506.0,2024,4
total national,2024-03,8456178.0,2024,3
total national,2024-02,6512168.0,2024,2
total national,2024-01,5660859.0,2024,1
total national,2023-12,6586138.0,2023,12
total national,2023-11,6798815.0,2023,11
total national,2023-10,10390441.0,2023,10
total national,2023-09,11627872.0,2023,9
total national,2023-08,13266497.0,2023,8
total national,2023-07,12680483.0,2023,7
total national,2023-06,11535550.0,2023,6
total national,2023-05,10580202.0,2023,5
total national,2023-04,9829384.0,2023,4
total national,2023-03,7361364.0,2023,3
total national,2023-02,5967064.0,2023,2
total national,2023-01,5367962.0,2023,1
total national,2022-12,6054556.0,2022,12
total national,2022-11,6284698.0,2022,11
total national,2022-10,9743259.0,2022,10
total national,2022-09,11050305.0,2022,9
total national,2022-08,12889916.0,2022,8
total national,2022-07,12292936.0,2022,7
total national,2022-06,10990468.0,2022,6
total national,2022-05,9920671.0,2022,5
total national,2022-04,8689822.0,2022,4
total national,2022-03,6061398.0,2022,3
total national,2022-02,5133961.0,2022,2
total national,2022-01,3770578.0,2022,1
total national,2021-12,4881952.0,2021,12
total national,2021-11,5391958.0,2021,11
total national,2021-10,8131666.0,2021,10
total national,2021-09,8256057.0,2021,9
total national,2021-08,10408035.0,2021,8
total national,2021-07,8544001.0,2021,7
total national,2021-06,5676067.0,2021,6
total national,2021-05,3404118.0,2021,5
total national,2021-04,1955719.0,2021,4
total national,2021-03,1770722.0,2021,3
total national,2021-02,1179236.0,2021,2
total national,2021-01,1124601.0,2021,1
total national,2020-12,1417815.0,2020,12
total national,2020-11,1184922.0,2020,11
total national,2020-10,2406759.0,2020,10
total national,2020-09,3513294.0,2020,9
total national,2020-08,5924218.0,2020,8
total national,2020-07,4407783.0,2020,7
total national,2020-06,944923.0,2020,6
total national,2020-05,98561.0,2020,5
total national,2020-04,0.0,2020,4
total national,2020-03,2656776.0,2020,3
total national,2020-02,6456402.0,2020,2
total national,2020-01,5577618.0,2020,1
total national,2019-12,6240788.0,2019,12
total national,2019-11,6693210.0,2019,11
total national,2019-10,9772631.0,2019,10
total national,2019-09,11038778.0,2019,9
total national,2019-08,13028096.0,2019,8
total national,2019-07,12124664.0,2019,7
total national,2019-06,11371775.0,2019,6
total national,2019-05,10509949.0,2019,5
total national,2019-04,9138989.0,2019,4
total national,2019-03,7534311.0,2019,3
total national,2019-02,6011298.0,2019,2
total national,2019-01,5251558.0,2019,1
total national,2018-12,6071139.0,2018,12
total national,2018-11,6485702.0,2018,11
total national,2018-10,9666570.0,2018,10
total national,2018-09,11000902.0,2018,9
total national,2018-08,12500596.0,2018,8
total national,2018-07,11707840.0,2018,7
total national,2018-06,10846347.0,2018,6
total national,2018-05,10040281.0,2018,5
total national,2018-04,8499926.0,2018,4
total national,2018-03,7532288.0,2018,3
total national,2018-02,5826145.0,2018,2
total national,2018-01,5133729.0,2018,1
total national,2017-12,5805767.0,2017,12
total national,2017-11,6068289.0,2017,11
total national,2017-10,9458368.0,2017,10
total national,2017-09,10933324.0,2017,9
total national,2017-08,12338502.0,2017,8
total national,2017-07,11910574.0,2017,7
total national,2017-06,10640606.0,2017,6
total national,2017-05,9844007.0,2017,5
total national,2017-04,9209286.0,2017,4
total national,2017-03,6921086.0,2017,3
total national,2017-02,5689624.0,2017,2
total national,2017-01,4984634.0,2017,1
total national,2016-12,5540097.0,2016,12
total national,2016-11,5786675.0,2016,11
total national,2016-10,9274924.0,2016,10
total national,2016-09,10486719.0,2016,9
total national,2016-08,12187504.0,2016,8
total national,2016-07,11605320.0,2016,7
total national,2016-06,10180427.0,2016,6
total national,2016-05,9569945.0,2016,5
total national,2016-04,7735455.0,2016,4
total national,2016-03,7221796.0,2016,3
total national,2016-02,5561906.0,2016,2
total national,2016-01,4689264.0,2016,1
total national,2015-12,5318037.0,2015,12
total national,2015-11,5509265.0,2015,11
total national,2015-10,8685869.0,2015,10
total national,2015-09,9766395.0,2015,9
total national,2015-08,11747649.0,2015,8
total national,2015-07,10616662.0,2015,7
total national,2015-06,9481768.0,2015,6
total national,2015-05,9087139.0,2015,5
total national,2015-04,7668482.0,2015,4
total national,2015-03,6146078.0,2015,3
total national,2015-02,4937718.0,2015,2
total national,2015-01,4251906.0,2015,1
total national,2014-12,4998810.0,2014,12
total national,2014-11,5144062.0,2014,11
total national,2014-10,7988684.0,2014,10
total national,2014-09,9342635.0,2014,9
total national,2014-08,11228638.0,2014,8
total national,2014-07,9885449.0,2014,7
total national,2014-06,9038987.0,2014,6
total national,2014-05,8518421.0,2014,5
total national,2014-04,7301730.0,2014,4
total national,2014-03,5770836.0,2014,3
total national,2014-02,4657133.0,2014,2
total national,2014-01,3939144.0,2014,1
total national,2025-02,3419893.0,2025,2
total national,2025-01,2919287.0,2025,1
total national,2024-12,3649144.0,2024,12
total national,2024-11,3764839.0,2024,11
total national,2024-10,4524933.0,2024,10
total national,2024-09,5009311.0,2024,9
total national,2024-08,6356384.0,2024,8
total national,2024-07,5748404.0,2024,7
total national,2024-06,5399073.0,2024,6
total national,2024-05,4926356.0,2024,5
total national,2024-04,4190383.0,2024,4
total national,2024-03,4406751.0,2024,3
total national,2024-02,3422317.0,2024,2
total national,2024-01,2919329.0,2024,1
total national,2023-12,3736128.0,2023,12
total national,2023-11,3586759.0,2023,11
total national,2023-10,4589155.0,2023,10
total national,2023-09,5122862.0,2023,9
total national,2023-08,6381789.0,2023,8
total national,2023-07,6012479.0,2023,7
total national,2023-06,5455490.0,2023,6
total national,2023-05,4553381.0,2023,5
total national,2023-04,4983861.0,2023,4
total national,2023-03,3983218.0,2023,3
total national,2023-02,3337995.0,2023,2
total national,2023-01,2964949.0,2023,1
total national,2022-12,3567132.0,2022,12
total national,2022-11,3541109.0,2022,11
total national,2022-10,4657750.0,2022,10
total national,2022-09,5178258.0,2022,9
total national,2022-08,6526507.0,2022,8
total national,2022-07,6075062.0,2022,7
total national,2022-06,5422886.0,2022,6
total national,2022-05,4672236.0,2022,5
total national,2022-04,4733976.0,2022,4
total national,2022-03,3432900.0,2022,3
total national,2022-02,3164177.0,2022,2
total national,2022-01,2342492.0,2022,1
total national,2021-12,3164988.0,2021,12
total national,2021-11,3218059.0,2021,11
total national,2021-10,4590112.0,2021,10
total national,2021-09,4952050.0,2021,9
total national,2021-08,6935006.0,2021,8
total national,2021-07,5772248.0,2021,7
total national,2021-06,4179628.0,2021,6
total national,2021-05,2580060.0,2021,5
total national,2021-04,1559023.0,2021,4
total national,2021-03,1456708.0,2021,3
total national,2021-02,975226.0,2021,2
total national,2021-01,889575.0,2021,1
total national,2020-12,1097429.0,2020,12
total national,2020-11,925018.0,2020,11
total national,2020-10,1917987.0,2020,10
total national,2020-09,2905879.0,2020,9
total national,2020-08,4648568.0,2020,8
total national,2020-07,3271958.0,2020,7
total national,2020-06,824393.0,2020,6
total national,2020-05,84804.0,2020,5
total national,2020-04,0.0,2020,4
total national,2020-03,1455613.0,2020,3
total national,2020-02,3636463.0,2020,2
total national,2020-01,2926703.0,2020,1
total national,2019-12,3577792.0,2019,12
total national,2019-11,3585911.0,2019,11
total national,2019-10,4321124.0,2019,10
total national,2019-09,4809515.0,2019,9
total national,2019-08,6432729.0,2019,8
total national,2019-07,5669457.0,2019,7
total national,2019-06,5183371.0,2019,6
total national,2019-05,4578814.0,2019,5
total national,2019-04,4470668.0,2019,4
total national,2019-03,4033782.0,2019,3
total national,2019-02,3315368.0,2019,2
total national,2019-01,2755656.0,2019,1
total national,2018-12,3494108.0,2018,12
total national,2018-11,3551431.0,2018,11
total national,2018-10,4354922.0,2018,10
total national,2018-09,4840570.0,2018,9
total national,2018-08,6181557.0,2018,8
total national,2018-07,5380698.0,2018,7
total national,2018-06,4868754.0,2018,6
total national,2018-05,4250360.0,2018,5
total national,2018-04,4154873.0,2018,4
total national,2018-03,4136756.0,2018,3
total national,2018-02,3208522.0,2018,2
total national,2018-01,2743159.0,2018,1
total national,2017-12,3461708.0,2017,12
total national,2017-11,3340928.0,2017,11
total national,2017-10,4302582.0,2017,10
total national,2017-09,4762659.0,2017,9
total national,2017-08,5970747.0,2017,8
total national,2017-07,5453609.0,2017,7
total national,2017-06,4785681.0,2017,6
total national,2017-05,4177945.0,2017,5
total national,2017-04,4688384.0,2017,4
total national,2017-03,3706176.0,2017,3
total national,2017-02,3157734.0,2017,2
total national,2017-01,2655015.0,2017,1
total national,2016-12,3231853.0,2016,12
total national,2016-11,3186298.0,2016,11
total national,2016-10,4358634.0,2016,10
total national,2016-09,4672782.0,2016,9
total national,2016-08,5993466.0,2016,8
total national,2016-07,5504356.0,2016,7
total national,2016-06,4723090.0,2016,6
total national,2016-05,4197064.0,2016,5
total national,2016-04,3755761.0,2016,4
total national,2016-03,4110169.0,2016,3
total national,2016-02,3191750.0,2016,2
total national,2016-01,2618022.0,2016,1
total national,2015-12,3220404.0,2015,12
total national,2015-11,3055877.0,2015,11
total national,2015-10,4137843.0,2015,10
total national,2015-09,4504038.0,2015,9
total national,2015-08,5945162.0,2015,8
total national,2015-07,5175659.0,2015,7
total national,2015-06,4587906.0,2015,6
total national,2015-05,4102767.0,2015,5
total national,2015-04,4031142.0,2015,4
total national,2015-03,3490443.0,2015,3
total national,2015-02,2878965.0,2015,2
total national,2015-01,2393392.0,2015,1
total national,2014-12,3062373.0,2014,12
total national,2014-11,2962597.0,2014,11
total national,2014-10,3801189.0,2014,10
total national,2014-09,4271468.0,2014,9
