total,year,month,source,region,period
6539960.0,2025,2,hotel_occupancy,total national,2025-02
5776075.0,2025,1,hotel_occupancy,total national,2025-01
6553489.0,2024,12,hotel_occupancy,total national,2024-12
7171221.0,2024,11,hotel_occupancy,total national,2024-11
10774309.0,2024,10,hotel_occupancy,total national,2024-10
11821379.0,2024,9,hotel_occupancy,total national,2024-09
13586095.0,2024,8,hotel_occupancy,total national,2024-08
12703213.0,2024,7,hotel_occupancy,total national,2024-07
11905082.0,2024,6,hotel_occupancy,total national,2024-06
11776729.0,2024,5,hotel_occupancy,total national,2024-05
9394506.0,2024,4,hotel_occupancy,total national,2024-04
8456178.0,2024,3,hotel_occupancy,total national,2024-03
6512168.0,2024,2,hotel_occupancy,total national,2024-02
5660859.0,2024,1,hotel_occupancy,total national,2024-01
6586138.0,2023,12,hotel_occupancy,total national,2023-12
6798815.0,2023,11,hotel_occupancy,total national,2023-11
10390441.0,2023,10,hotel_occupancy,total national,2023-10
11627872.0,2023,9,hotel_occupancy,total national,2023-09
13266497.0,2023,8,hotel_occupancy,total national,2023-08
12680483.0,2023,7,hotel_occupancy,total national,2023-07
11535550.0,2023,6,hotel_occupancy,total national,2023-06
10580202.0,2023,5,hotel_occupancy,total national,2023-05
9829384.0,2023,4,hotel_occupancy,total national,2023-04
7361364.0,2023,3,hotel_occupancy,total national,2023-03
5967064.0,2023,2,hotel_occupancy,total national,2023-02
5367962.0,2023,1,hotel_occupancy,total national,2023-01
6054556.0,2022,12,hotel_occupancy,total national,2022-12
6284698.0,2022,11,hotel_occupancy,total national,2022-11
9743259.0,2022,10,hotel_occupancy,total national,2022-10
11050305.0,2022,9,hotel_occupancy,total national,2022-09
12889916.0,2022,8,hotel_occupancy,total national,2022-08
12292936.0,2022,7,hotel_occupancy,total national,2022-07
10990468.0,2022,6,hotel_occupancy,total national,2022-06
9920671.0,2022,5,hotel_occupancy,total national,2022-05
8689822.0,2022,4,hotel_occupancy,total national,2022-04
6061398.0,2022,3,hotel_occupancy,total national,2022-03
5133961.0,2022,2,hotel_occupancy,total national,2022-02
3770578.0,2022,1,hotel_occupancy,total national,2022-01
3419893.0,2025,2,hotel_occupancy,total national,2025-02
2919287.0,2025,1,hotel_occupancy,total national,2025-01
3649144.0,2024,12,hotel_occupancy,total national,2024-12
3764839.0,2024,11,hotel_occupancy,total national,2024-11
4524933.0,2024,10,hotel_occupancy,total national,2024-10
5009311.0,2024,9,hotel_occupancy,total national,2024-09
6356384.0,2024,8,hotel_occupancy,total national,2024-08
5748404.0,2024,7,hotel_occupancy,total national,2024-07
5399073.0,2024,6,hotel_occupancy,total national,2024-06
4926356.0,2024,5,hotel_occupancy,total national,2024-05
4190383.0,2024,4,hotel_occupancy,total national,2024-04
4406751.0,2024,3,hotel_occupancy,total national,2024-03
3422317.0,2024,2,hotel_occupancy,total national,2024-02
2919329.0,2024,1,hotel_occupancy,total national,2024-01
3736128.0,2023,12,hotel_occupancy,total national,2023-12
3586759.0,2023,11,hotel_occupancy,total national,2023-11
4589155.0,2023,10,hotel_occupancy,total national,2023-10
5122862.0,2023,9,hotel_occupancy,total national,2023-09
6381789.0,2023,8,hotel_occupancy,total national,2023-08
6012479.0,2023,7,hotel_occupancy,total national,2023-07
5455490.0,2023,6,hotel_occupancy,total national,2023-06
4553381.0,2023,5,hotel_occupancy,total national,2023-05
4983861.0,2023,4,hotel_occupancy,total national,2023-04
3983218.0,2023,3,hotel_occupancy,total national,2023-03
3337995.0,2023,2,hotel_occupancy,total national,2023-02
2964949.0,2023,1,hotel_occupancy,total national,2023-01
3567132.0,2022,12,hotel_occupancy,total national,2022-12
3541109.0,2022,11,hotel_occupancy,total national,2022-11
4657750.0,2022,10,hotel_occupancy,total national,2022-10
5178258.0,2022,9,hotel_occupancy,total national,2022-09
6526507.0,2022,8,hotel_occupancy,total national,2022-08
6075062.0,2022,7,hotel_occupancy,total national,2022-07
5422886.0,2022,6,hotel_occupancy,total national,2022-06
4672236.0,2022,5,hotel_occupancy,total national,2022-05
4733976.0,2022,4,hotel_occupancy,total national,2022-04
3432900.0,2022,3,hotel_occupancy,total national,2022-03
3164177.0,2022,2,hotel_occupancy,total national,2022-02
2342492.0,2022,1,hotel_occupancy,total national,2022-01
3120066.0,2025,2,hotel_occupancy,total national,2025-02
2856788.0,2025,1,hotel_occupancy,total national,2025-01
2904344.0,2024,12,hotel_occupancy,total national,2024-12
3406382.0,2024,11,hotel_occupancy,total national,2024-11
6249376.0,2024,10,hotel_occupancy,total national,2024-10
6812069.0,2024,9,hotel_occupancy,total national,2024-09
7229711.0,2024,8,hotel_occupancy,total national,2024-08
6954809.0,2024,7,hotel_occupancy,total national,2024-07
6506010.0,2024,6,hotel_occupancy,total national,2024-06
6850373.0,2024,5,hotel_occupancy,total national,2024-05
5204123.0,2024,4,hotel_occupancy,total national,2024-04
4049427.0,2024,3,hotel_occupancy,total national,2024-03
3089851.0,2024,2,hotel_occupancy,total national,2024-02
2741530.0,2024,1,hotel_occupancy,total national,2024-01
2850010.0,2023,12,hotel_occupancy,total national,2023-12
3212056.0,2023,11,hotel_occupancy,total national,2023-11
5801286.0,2023,10,hotel_occupancy,total national,2023-10
6505010.0,2023,9,hotel_occupancy,total national,2023-09
6884708.0,2023,8,hotel_occupancy,total national,2023-08
6668004.0,2023,7,hotel_occupancy,total national,2023-07
6080059.0,2023,6,hotel_occupancy,total national,2023-06
6026821.0,2023,5,hotel_occupancy,total national,2023-05
4845523.0,2023,4,hotel_occupancy,total national,2023-04
3378146.0,2023,3,hotel_occupancy,total national,2023-03
2629069.0,2023,2,hotel_occupancy,total national,2023-02
2403013.0,2023,1,hotel_occupancy,total national,2023-01
2487423.0,2022,12,hotel_occupancy,total national,2022-12
2743589.0,2022,11,hotel_occupancy,total national,2022-11
5085510.0,2022,10,hotel_occupancy,total national,2022-10
5872047.0,2022,9,hotel_occupancy,total national,2022-09
6363409.0,2022,8,hotel_occupancy,total national,2022-08
6217875.0,2022,7,hotel_occupancy,total national,2022-07
5567582.0,2022,6,hotel_occupancy,total national,2022-06
5248435.0,2022,5,hotel_occupancy,total national,2022-05
3955846.0,2022,4,hotel_occupancy,total national,2022-04
2628498.0,2022,3,hotel_occupancy,total national,2022-03
1969784.0,2022,2,hotel_occupancy,total national,2022-02
1428086.0,2022,1,hotel_occupancy,total national,2022-01
18412444.0,2025,2,hotel_occupancy,total national,2025-02
16910798.0,2025,1,hotel_occupancy,total national,2025-01
18033188.0,2024,12,hotel_occupancy,total national,2024-12
20055197.0,2024,11,hotel_occupancy,total national,2024-11
33942709.0,2024,10,hotel_occupancy,total national,2024-10
39040928.0,2024,9,hotel_occupancy,total national,2024-09
47895779.0,2024,8,hotel_occupancy,total national,2024-08
44038012.0,2024,7,hotel_occupancy,total national,2024-07
38226012.0,2024,6,hotel_occupancy,total national,2024-06
35744250.0,2024,5,hotel_occupancy,total national,2024-05
27142842.0,2024,4,hotel_occupancy,total national,2024-04
24533888.0,2024,3,hotel_occupancy,total national,2024-03
18581766.0,2024,2,hotel_occupancy,total national,2024-02
16491597.0,2024,1,hotel_occupancy,total national,2024-01
17913857.0,2023,12,hotel_occupancy,total national,2023-12
19023828.0,2023,11,hotel_occupancy,total national,2023-11
32415687.0,2023,10,hotel_occupancy,total national,2023-10
37980229.0,2023,9,hotel_occupancy,total national,2023-09
46695607.0,2023,8,hotel_occupancy,total national,2023-08
43109417.0,2023,7,hotel_occupancy,total national,2023-07
36255025.0,2023,6,hotel_occupancy,total national,2023-06
32187667.0,2023,5,hotel_occupancy,total national,2023-05
28046754.0,2023,4,hotel_occupancy,total national,2023-04
20597741.0,2023,3,hotel_occupancy,total national,2023-03
16816547.0,2023,2,hotel_occupancy,total national,2023-02
15472477.0,2023,1,hotel_occupancy,total national,2023-01
16627833.0,2022,12,hotel_occupancy,total national,2022-12
17661676.0,2022,11,hotel_occupancy,total national,2022-11
29865924.0,2022,10,hotel_occupancy,total national,2022-10
35999861.0,2022,9,hotel_occupancy,total national,2022-09
46140100.0,2022,8,hotel_occupancy,total national,2022-08
42121775.0,2022,7,hotel_occupancy,total national,2022-07
