region,period,total,year,month
total national,2025-02,246112.0,2025,2
total national,2025-01,199661.0,2025,1
total national,2024-12,240130.0,2024,12
total national,2024-11,257872.0,2024,11
total national,2024-10,588775.0,2024,10
total national,2024-09,1079320.0,2024,9
total national,2024-08,2191697.0,2024,8
total national,2024-07,1893246.0,2024,7
total national,2024-06,1270158.0,2024,6
total national,2024-05,981021.0,2024,5
total national,2024-04,675476.0,2024,4
total national,2024-03,638004.0,2024,3
total national,2024-02,240985.0,2024,2
total national,2024-01,191660.0,2024,1
total national,2023-12,241424.0,2023,12
total national,2023-11,247494.0,2023,11
total national,2023-10,606747.0,2023,10
total national,2023-09,1056921.0,2023,9
total national,2023-08,2193173.0,2023,8
total national,2023-07,1876968.0,2023,7
total national,2023-06,1244721.0,2023,6
total national,2023-05,784273.0,2023,5
total national,2023-04,996635.0,2023,4
total national,2023-03,360972.0,2023,3
total national,2023-02,220493.0,2023,2
total national,2023-01,186516.0,2023,1
total national,2022-12,214331.0,2022,12
total national,2022-11,221087.0,2022,11
total national,2022-10,566305.0,2022,10
total national,2022-09,978753.0,2022,9
total national,2022-08,2108741.0,2022,8
total national,2022-07,1849693.0,2022,7
total national,2022-06,1240074.0,2022,6
total national,2022-05,784790.0,2022,5
total national,2022-04,804711.0,2022,4
total national,2022-03,267576.0,2022,3
total national,2022-02,226749.0,2022,2
total national,2022-01,177207.0,2022,1
total national,2021-12,204280.0,2021,12
total national,2021-11,204424.0,2021,11
total national,2021-10,565908.0,2021,10
total national,2021-09,896162.0,2021,9
total national,2021-08,2049427.0,2021,8
total national,2021-07,1624160.0,2021,7
total national,2021-06,944102.0,2021,6
total national,2021-05,516252.0,2021,5
total national,2021-04,321779.0,2021,4
total national,2021-03,198288.0,2021,3
total national,2021-02,51940.0,2021,2
total national,2021-01,45048.0,2021,1
total national,2020-12,80706.0,2020,12
total national,2020-11,49739.0,2020,11
total national,2020-10,277333.0,2020,10
total national,2020-09,603385.0,2020,9
total national,2020-08,1484702.0,2020,8
total national,2020-07,1165205.0,2020,7
total national,2020-06,363880.0,2020,6
total national,2020-05,19014.0,2020,5
total national,2020-04,0.0,2020,4
total national,2020-03,83330.0,2020,3
total national,2020-02,216787.0,2020,2
total national,2020-01,145392.0,2020,1
total national,2019-12,186917.0,2019,12
total national,2019-11,206152.0,2019,11
total national,2019-10,429661.0,2019,10
total national,2019-09,815409.0,2019,9
total national,2019-08,2079339.0,2019,8
total national,2019-07,1553253.0,2019,7
total national,2019-06,1116439.0,2019,6
total national,2019-05,671835.0,2019,5
total national,2019-04,642851.0,2019,4
total national,2019-03,308674.0,2019,3
total national,2019-02,168693.0,2019,2
total national,2019-01,125019.0,2019,1
total national,2018-12,172317.0,2018,12
total national,2018-11,183527.0,2018,11
total national,2018-10,409548.0,2018,10
total national,2018-09,833615.0,2018,9
total national,2018-08,1965971.0,2018,8
total national,2018-07,1548892.0,2018,7
total national,2018-06,959068.0,2018,6
total national,2018-05,595744.0,2018,5
total national,2018-04,506722.0,2018,4
total national,2018-03,417647.0,2018,3
total national,2018-02,150770.0,2018,2
total national,2018-01,123538.0,2018,1
total national,2017-12,162619.0,2017,12
total national,2017-11,158334.0,2017,11
total national,2017-10,384601.0,2017,10
total national,2017-09,811165.0,2017,9
total national,2017-08,1932149.0,2017,8
total national,2017-07,1608655.0,2017,7
total national,2017-06,978369.0,2017,6
total national,2017-05,573458.0,2017,5
total national,2017-04,729910.0,2017,4
total national,2017-03,251201.0,2017,3
total national,2017-02,152206.0,2017,2
total national,2017-01,126522.0,2017,1
total national,2016-12,150829.0,2016,12
total national,2016-11,146465.0,2016,11
total national,2016-10,350383.0,2016,10
total national,2016-09,733232.0,2016,9
total national,2016-08,1928588.0,2016,8
total national,2016-07,1570298.0,2016,7
total national,2016-06,842461.0,2016,6
total national,2016-05,544134.0,2016,5
total national,2016-04,412940.0,2016,4
total national,2016-03,440747.0,2016,3
total national,2016-02,148540.0,2016,2
total national,2016-01,131205.0,2016,1
total national,2015-12,142860.0,2015,12
total national,2015-11,144231.0,2015,11
total national,2015-10,330429.0,2015,10
total national,2015-09,624927.0,2015,9
total national,2015-08,1761039.0,2015,8
total national,2015-07,1393435.0,2015,7
total national,2015-06,771210.0,2015,6
total national,2015-05,572831.0,2015,5
total national,2015-04,520566.0,2015,4
total national,2015-03,229662.0,2015,3
total national,2015-02,122045.0,2015,2
total national,2015-01,108857.0,2015,1
total national,2014-12,133657.0,2014,12
total national,2014-11,134657.0,2014,11
total national,2014-10,280913.0,2014,10
total national,2014-09,596184.0,2014,9
total national,2014-08,1751010.0,2014,8
total national,2014-07,1280236.0,2014,7
total national,2014-06,736412.0,2014,6
total national,2014-05,502257.0,2014,5
total national,2014-04,506324.0,2014,4
total national,2014-03,197143.0,2014,3
total national,2014-02,118020.0,2014,2
total national,2014-01,95617.0,2014,1
total national,2013-12,114503.0,2013,12
total national,2013-11,138543.0,2013,11
total national,2013-10,252842.0,2013,10
total national,2013-09,544101.0,2013,9
total national,2013-08,1684224.0,2013,8
total national,2013-07,1297028.0,2013,7
total national,2013-06,727879.0,2013,6
total national,2013-05,459009.0,2013,5
total national,2013-04,325761.0,2013,4
total national,2013-03,325194.0,2013,3
total national,2013-02,103405.0,2013,2
total national,2013-01,85028.0,2013,1
total national,2012-12,101500.0,2012,12
