region,period,total,year,month
total national,2024-10,424160.0,2024,10
total national,2024-09,482574.0,2024,9
total national,2024-08,687907.0,2024,8
total national,2024-07,559284.0,2024,7
total national,2024-06,456854.0,2024,6
total national,2024-05,442460.0,2024,5
total national,2024-04,350649.0,2024,4
total national,2024-03,363288.0,2024,3
total national,2024-02,210124.0,2024,2
total national,2024-01,156492.0,2024,1
total national,2023-12,347975.0,2023,12
total national,2023-11,261722.0,2023,11
total national,2023-10,400646.0,2023,10
total national,2023-09,481548.0,2023,9
total national,2023-08,665755.0,2023,8
total national,2023-07,572210.0,2023,7
total national,2023-06,437016.0,2023,6
total national,2023-05,368573.0,2023,5
total national,2023-04,460666.0,2023,4
total national,2023-03,268598.0,2023,3
total national,2023-02,217686.0,2023,2
total national,2023-01,165458.0,2023,1
total national,2022-12,314339.0,2022,12
total national,2022-11,250980.0,2022,11
total national,2022-10,400062.0,2022,10
total national,2022-09,439050.0,2022,9
total national,2022-08,646185.0,2022,8
total national,2022-07,569042.0,2022,7
total national,2022-06,412181.0,2022,6
total national,2022-05,365553.0,2022,5
total national,2022-04,412860.0,2022,4
total national,2022-03,227429.0,2022,3
total national,2022-02,212691.0,2022,2
total national,2022-01,145193.0,2022,1
total national,2021-12,288182.0,2021,12
total national,2021-11,248744.0,2021,11
total national,2021-10,439833.0,2021,10
total national,2021-09,425742.0,2021,9
total national,2021-08,640477.0,2021,8
total national,2021-07,525007.0,2021,7
total national,2021-06,318030.0,2021,6
total national,2021-05,199371.0,2021,5
total national,2021-04,127464.0,2021,4
total national,2021-03,99362.0,2021,3
total national,2021-02,34355.0,2021,2
total national,2021-01,33313.0,2021,1
total national,2020-12,85687.0,2020,12
total national,2020-11,41937.0,2020,11
total national,2020-10,162686.0,2020,10
total national,2020-09,259925.0,2020,9
total national,2020-08,535842.0,2020,8
total national,2020-07,428995.0,2020,7
total national,2020-06,116497.0,2020,6
total national,2020-05,8005.0,2020,5
total national,2020-04,0.0,2020,4
total national,2020-03,56332.0,2020,3
total national,2020-02,226830.0,2020,2
total national,2020-01,160172.0,2020,1
total national,2019-12,341850.0,2019,12
total national,2019-11,300454.0,2019,11
total national,2019-10,374023.0,2019,10
total national,2019-09,419287.0,2019,9
total national,2019-08,655937.0,2019,8
total national,2019-07,515634.0,2019,7
total national,2019-06,439082.0,2019,6
total national,2019-05,367754.0,2019,5
total national,2019-04,382344.0,2019,4
total national,2019-03,288532.0,2019,3
total national,2019-02,197124.0,2019,2
total national,2019-01,139376.0,2019,1
total national,2018-12,334370.0,2018,12
total national,2018-11,281690.0,2018,11
total national,2018-10,378284.0,2018,10
total national,2018-09,422060.0,2018,9
total national,2018-08,617971.0,2018,8
total national,2018-07,481751.0,2018,7
total national,2018-06,406187.0,2018,6
total national,2018-05,341270.0,2018,5
total national,2018-04,341465.0,2018,4
total national,2018-03,327077.0,2018,3
total national,2018-02,188874.0,2018,2
total national,2018-01,139670.0,2018,1
total national,2017-12,330528.0,2017,12
total national,2017-11,227661.0,2017,11
total national,2017-10,351998.0,2017,10
total national,2017-09,404320.0,2017,9
total national,2017-08,578524.0,2017,8
total national,2017-07,489067.0,2017,7
total national,2017-06,376799.0,2017,6
total national,2017-05,312772.0,2017,5
total national,2017-04,413792.0,2017,4
total national,2017-03,240397.0,2017,3
total national,2017-02,190824.0,2017,2
total national,2017-01,133292.0,2017,1
total national,2024-10,299562.0,2024,10
total national,2024-09,325571.0,2024,9
total national,2024-08,514419.0,2024,8
total national,2024-07,393927.0,2024,7
total national,2024-06,322038.0,2024,6
total national,2024-05,297893.0,2024,5
total national,2024-04,241930.0,2024,4
total national,2024-03,302420.0,2024,3
total national,2024-02,178117.0,2024,2
total national,2024-01,131986.0,2024,1
total national,2023-12,316100.0,2023,12
total national,2023-11,226985.0,2023,11
total national,2023-10,298781.0,2023,10
total national,2023-09,339055.0,2023,9
total national,2023-08,503883.0,2023,8
total national,2023-07,419329.0,2023,7
total national,2023-06,320218.0,2023,6
total national,2023-05,252139.0,2023,5
total national,2023-04,361386.0,2023,4
total national,2023-03,219934.0,2023,3
total national,2023-02,186468.0,2023,2
total national,2023-01,142557.0,2023,1
total national,2022-12,287135.0,2022,12
total national,2022-11,220345.0,2022,11
total national,2022-10,316430.0,2022,10
total national,2022-09,324863.0,2022,9
total national,2022-08,509865.0,2022,8
total national,2022-07,442090.0,2022,7
total national,2022-06,310336.0,2022,6
total national,2022-05,269644.0,2022,5
total national,2022-04,340667.0,2022,4
total national,2022-03,192243.0,2022,3
total national,2022-02,188916.0,2022,2
total national,2022-01,129084.0,2022,1
total national,2021-12,267455.0,2021,12
total national,2021-11,222429.0,2021,11
total national,2021-10,368062.0,2021,10
total national,2021-09,339826.0,2021,9
total national,2021-08,550263.0,2021,8
total national,2021-07,444624.0,2021,7
total national,2021-06,273018.0,2021,6
total national,2021-05,168571.0,2021,5
total national,2021-04,115622.0,2021,4
total national,2021-03,92575.0,2021,3
total national,2021-02,31942.0,2021,2
total national,2021-01,30598.0,2021,1
total national,2020-12,80114.0,2020,12
total national,2020-11,0.0,2020,11
total national,2020-10,151171.0,2020,10
total national,2020-09,241882.0,2020,9
total national,2020-08,493393.0,2020,8
total national,2020-07,387241.0,2020,7
total national,2020-06,113624.0,2020,6
total national,2020-05,0.0,2020,5
total national,2020-04,0.0,2020,4
total national,2020-03,45841.0,2020,3
total national,2020-02,200636.0,2020,2
total national,2020-01,140927.0,2020,1
total national,2019-12,313967.0,2019,12
total national,2019-11,271157.0,2019,11
total national,2019-10,291487.0,2019,10
total national,2019-09,296409.0,2019,9
total national,2019-08,513135.0,2019,8
total national,2019-07,390209.0,2019,7
total national,2019-06,334150.0,2019,6
total national,2019-05,271622.0,2019,5
total national,2019-04,309069.0,2019,4
total national,2019-03,249268.0,2019,3
total national,2019-02,172002.0,2019,2
total national,2019-01,121099.0,2019,1
total national,2018-12,309788.0,2018,12
total national,2018-11,254291.0,2018,11
total national,2018-10,295083.0,2018,10
total national,2018-09,309483.0,2018,9
total national,2018-08,478559.0,2018,8
total national,2018-07,355468.0,2018,7
total national,2018-06,308092.0,2018,6
total national,2018-05,238474.0,2018,5
total national,2018-04,272291.0,2018,4
total national,2018-03,286691.0,2018,3
total national,2018-02,165555.0,2018,2
total national,2018-01,122354.0,2018,1
total national,2017-12,308404.0,2017,12
total national,2017-11,200857.0,2017,11
total national,2017-10,275768.0,2017,10
total national,2017-09,295266.0,2017,9
total national,2017-08,454211.0,2017,8
total national,2017-07,374218.0,2017,7
total national,2017-06,286697.0,2017,6
total national,2017-05,226050.0,2017,5
total national,2017-04,347184.0,2017,4
total national,2017-03,210366.0,2017,3
total national,2017-02,168635.0,2017,2
total national,2017-01,117588.0,2017,1
total national,2024-10,124598.0,2024,10
total national,2024-09,157003.0,2024,9
total national,2024-08,173488.0,2024,8
total national,2024-07,165357.0,2024,7
total national,2024-06,134815.0,2024,6
total national,2024-05,144566.0,2024,5
total national,2024-04,108719.0,2024,4
total national,2024-03,60869.0,2024,3
total national,2024-02,32007.0,2024,2
total national,2024-01,24506.0,2024,1
total national,2023-12,31875.0,2023,12
total national,2023-11,34738.0,2023,11
total national,2023-10,101864.0,2023,10
total national,2023-09,142493.0,2023,9
total national,2023-08,161872.0,2023,8
total national,2023-07,152880.0,2023,7
total national,2023-06,116798.0,2023,6
total national,2023-05,116434.0,2023,5
total national,2023-04,99280.0,2023,4
total national,2023-03,48664.0,2023,3
total national,2023-02,31218.0,2023,2
total national,2023-01,22900.0,2023,1
total national,2022-12,27204.0,2022,12
total national,2022-11,30634.0,2022,11
total national,2022-10,83632.0,2022,10
total national,2022-09,114187.0,2022,9
total national,2022-08,136319.0,2022,8
total national,2022-07,126952.0,2022,7
total national,2022-06,101845.0,2022,6
total national,2022-05,95909.0,2022,5
total national,2022-04,72193.0,2022,4
total national,2022-03,35186.0,2022,3
total national,2022-02,23776.0,2022,2
total national,2022-01,16109.0,2022,1
total national,2021-12,20726.0,2021,12
total national,2021-11,26315.0,2021,11
total national,2021-10,71771.0,2021,10
total national,2021-09,85916.0,2021,9
total national,2021-08,90213.0,2021,8
total national,2021-07,80383.0,2021,7
total national,2021-06,45012.0,2021,6
total national,2021-05,30800.0,2021,5
total national,2021-04,11842.0,2021,4
total national,2021-03,6787.0,2021,3
total national,2021-02,2412.0,2021,2
total national,2021-01,2715.0,2021,1
total national,2020-12,5573.0,2020,12
total national,2020-11,0.0,2020,11
total national,2020-10,11515.0,2020,10
total national,2020-09,18043.0,2020,9
total national,2020-08,42449.0,2020,8
total national,2020-07,41754.0,2020,7
total national,2020-06,2874.0,2020,6
total national,2020-05,0.0,2020,5
total national,2020-04,0.0,2020,4
total national,2020-03,10491.0,2020,3
total national,2020-02,26194.0,2020,2
total national,2020-01,19245.0,2020,1
total national,2019-12,27883.0,2019,12
total national,2019-11,29297.0,2019,11
total national,2019-10,82537.0,2019,10
total national,2019-09,122879.0,2019,9
total national,2019-08,142802.0,2019,8
total national,2019-07,125425.0,2019,7
total national,2019-06,104933.0,2019,6
total national,2019-05,96131.0,2019,5
total national,2019-04,73275.0,2019,4
total national,2019-03,39265.0,2019,3
total national,2019-02,25122.0,2019,2
total national,2019-01,18277.0,2019,1
total national,2018-12,24582.0,2018,12
total national,2018-11,27399.0,2018,11
total national,2018-10,83201.0,2018,10
total national,2018-09,112577.0,2018,9
total national,2018-08,139412.0,2018,8
total national,2018-07,126283.0,2018,7
total national,2018-06,98095.0,2018,6
total national,2018-05,102796.0,2018,5
total national,2018-04,69174.0,2018,4
total national,2018-03,40386.0,2018,3
total national,2018-02,23319.0,2018,2
total national,2018-01,17316.0,2018,1
total national,2017-12,22125.0,2017,12
total national,2017-11,26805.0,2017,11
total national,2017-10,76230.0,2017,10
total national,2017-09,109054.0,2017,9
total national,2017-08,124314.0,2017,8
total national,2017-07,114849.0,2017,7
total national,2017-06,90102.0,2017,6
total national,2017-05,86723.0,2017,5
total national,2017-04,66608.0,2017,4
total national,2017-03,30031.0,2017,3
total national,2017-02,22189.0,2017,2
total national,2017-01,15703.0,2017,1
total national,2024-10,990897.0,2024,10
total national,2024-09,1223901.0,2024,9
total national,2024-08,2408872.0,2024,8
total national,2024-07,1728726.0,2024,7
total national,2024-06,1118696.0,2024,6
total national,2024-05,1029736.0,2024,5
total national,2024-04,821393.0,2024,4
total national,2024-03,925051.0,2024,3
total national,2024-02,486851.0,2024,2
total national,2024-01,380798.0,2024,1
total national,2023-12,926332.0,2023,12
