Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;2025M02;6,16
Total Nacional;;2025M01;7,33
Total Nacional;;2024M12;6,29
Total Nacional;;2024M11;5,76
Total Nacional;;2024M10;4,54
Total Nacional;;2024M09;4,53
Total Nacional;;2024M08;5,28
Total Nacional;;2024M07;5,01
Total Nacional;;2024M06;4,07
Total Nacional;;2024M05;3,93
Total Nacional;;2024M04;4,23
Total Nacional;;2024M03;4,32
Total Nacional;;2024M02;6,47
Total Nacional;;2024M01;7,65
Total Nacional;;2023M12;6,14
Total Nacional;;2023M11;5,78
Total Nacional;;2023M10;4,49
Total Nacional;;2023M09;4,35
Total Nacional;;2023M08;5,18
Total Nacional;;2023M07;4,73
Total Nacional;;2023M06;3,94
Total Nacional;;2023M05;4,23
Total Nacional;;2023M04;3,84
Total Nacional;;2023M03;4,87
Total Nacional;;2023M02;6,41
Total Nacional;;2023M01;7,24
Total Nacional;;2022M12;6,3
Total Nacional;;2022M11;5,65
Total Nacional;;2022M10;4,34
Total Nacional;;2022M09;4,38
Total Nacional;;2022M08;5,33
Total Nacional;;2022M07;4,81
Total Nacional;;2022M06;3,95
Total Nacional;;2022M05;3,9
Total Nacional;;2022M04;3,89
Total Nacional;;2022M03;5,18
Total Nacional;;2022M02;5,89
Total Nacional;;2022M01;7,07
Total Nacional;;2021M12;6,21
Total Nacional;;2021M11;5,68
Total Nacional;;2021M10;4,14
Total Nacional;;2021M09;4,42
Total Nacional;;2021M08;5
Total Nacional;;2021M07;4,39
Total Nacional;;2021M06;3,72
Total Nacional;;2021M05;3,4
Total Nacional;;2021M04;4,25
Total Nacional;;2021M03;4,52
Total Nacional;;2021M02;9,76
Total Nacional;;2021M01;12,13
Total Nacional;;2020M12;7,7
Total Nacional;;2020M11;10,85
Total Nacional;;2020M10;4,08
Total Nacional;;2020M09;4,05
Total Nacional;;2020M08;4,82
Total Nacional;;2020M07;4,3
Total Nacional;;2020M06;3,51
Total Nacional;;2020M05;6
Total Nacional;;2020M04;0
Total Nacional;;2020M03;8,83
Total Nacional;;2020M02;6,24
Total Nacional;;2020M01;8,18
Total Nacional;;2019M12;6,63
Total Nacional;;2019M11;5,76
Total Nacional;;2019M10;4,57
Total Nacional;;2019M09;4,79
Total Nacional;;2019M08;5,25
Total Nacional;;2019M07;5,13
Total Nacional;;2019M06;3,99
Total Nacional;;2019M05;3,97
Total Nacional;;2019M04;4,17
Total Nacional;;2019M03;4,8
Total Nacional;;2019M02;6,92
Total Nacional;;2019M01;8,78
Total Nacional;;2018M12;6,84
Total Nacional;;2018M11;6,13
Total Nacional;;2018M10;4,78
Total Nacional;;2018M09;4,52
Total Nacional;;2018M08;5,36
Total Nacional;;2018M07;5,03
Total Nacional;;2018M06;4,03
Total Nacional;;2018M05;4,43
Total Nacional;;2018M04;4,32
Total Nacional;;2018M03;4,54
Total Nacional;;2018M02;7,39
Total Nacional;;2018M01;8,81
Total Nacional;;2017M12;6,94
Total Nacional;;2017M11;6,42
Total Nacional;;2017M10;4,83
Total Nacional;;2017M09;4,49
Total Nacional;;2017M08;5,46
Total Nacional;;2017M07;4,94
Total Nacional;;2017M06;3,94
Total Nacional;;2017M05;4,2
Total Nacional;;2017M04;3,88
Total Nacional;;2017M03;5,18
Total Nacional;;2017M02;7,22
Total Nacional;;2017M01;8,45
Total Nacional;;2016M12;6,93
Total Nacional;;2016M11;6,44
Total Nacional;;2016M10;4,87
Total Nacional;;2016M09;4,56
Total Nacional;;2016M08;5,41
Total Nacional;;2016M07;4,79
Total Nacional;;2016M06;4,1
Total Nacional;;2016M05;4,31
Total Nacional;;2016M04;4,24
Total Nacional;;2016M03;4,54
Total Nacional;;2016M02;7,21
Total Nacional;;2016M01;7,78
Total Nacional;;2015M12;6,99
Total Nacional;;2015M11;6,46
Total Nacional;;2015M10;4,88
Total Nacional;;2015M09;5,05
Total Nacional;;2015M08;5,51
Total Nacional;;2015M07;5,16
Total Nacional;;2015M06;4,13
Total Nacional;;2015M05;4,12
Total Nacional;;2015M04;4,14
Total Nacional;;2015M03;5,16
Total Nacional;;2015M02;7,95
Total Nacional;;2015M01;8,6
Total Nacional;;2014M12;6,8
Total Nacional;;2014M11;6,12
Total Nacional;;2014M10;5,02
Total Nacional;;2014M09;4,98
Total Nacional;;2014M08;5,4
