Comunidades y Ciudades Autónomas;Concepto turístico;RESIDENCIA/ORIGEN;Periodo;Total
Total Nacional;Viajero;Total;2023M02;219.940
Total Nacional;Viajero;Total;2023M01;185.625
Total Nacional;Viajero;Total;2022M12;214.230
Total Nacional;Viajero;Total;2022M11;222.500
Total Nacional;Viajero;Total;2022M10;580.003
Total Nacional;Viajero;Total;2022M09;966.845
Total Nacional;Viajero;Total;2022M08;2.113.639
Total Nacional;Viajero;Total;2022M07;1.856.780
Total Nacional;Viajero;Total;2022M06;1.271.427
Total Nacional;Viajero;Total;2022M05;795.595
Total Nacional;Viajero;Total;2022M04;815.660
Total Nacional;Viajero;Total;2022M03;266.467
Total Nacional;Viajero;Total;2022M02;226.749
Total Nacional;Viajero;Total;2022M01;177.207
Total Nacional;Viajero;Total;2021M12;204.280
Total Nacional;Viajero;Total;2021M11;204.424
Total Nacional;Viajero;Total;2021M10;565.908
Total Nacional;Viajero;Total;2021M09;896.162
Total Nacional;Viajero;Total;2021M08;2.049.427
Total Nacional;Viajero;Total;2021M07;1.624.160
Total Nacional;Viajero;Total;2021M06;944.102
Total Nacional;Viajero;Total;2021M05;516.252
Total Nacional;Viajero;Total;2021M04;321.779
Total Nacional;Viajero;Total;2021M03;198.288
Total Nacional;Viajero;Total;2021M02;51.940
Total Nacional;Viajero;Total;2021M01;45.048
Total Nacional;Viajero;Total;2020M12;80.706
Total Nacional;Viajero;Total;2020M11;49.739
Total Nacional;Viajero;Total;2020M10;277.333
Total Nacional;Viajero;Total;2020M09;603.385
Total Nacional;Viajero;Total;2020M08;1.484.702
Total Nacional;Viajero;Total;2020M07;1.165.205
Total Nacional;Viajero;Total;2020M06;363.880
Total Nacional;Viajero;Total;2020M05;19.014
Total Nacional;Viajero;Total;2020M04;0
Total Nacional;Viajero;Total;2020M03;83.330
Total Nacional;Viajero;Total;2020M02;216.787
Total Nacional;Viajero;Total;2020M01;145.392
Total Nacional;Viajero;Total;2019M12;186.917
Total Nacional;Viajero;Total;2019M11;206.152
Total Nacional;Viajero;Total;2019M10;429.661
Total Nacional;Viajero;Total;2019M09;815.409
Total Nacional;Viajero;Total;2019M08;2.079.339
Total Nacional;Viajero;Total;2019M07;1.553.253
Total Nacional;Viajero;Total;2019M06;1.116.439
Total Nacional;Viajero;Total;2019M05;671.835
Total Nacional;Viajero;Total;2019M04;642.851
Total Nacional;Viajero;Total;2019M03;308.674
Total Nacional;Viajero;Total;2019M02;168.693
Total Nacional;Viajero;Total;2019M01;125.019
Total Nacional;Viajero;Total;2018M12;172.317
Total Nacional;Viajero;Total;2018M11;183.527
Total Nacional;Viajero;Total;2018M10;409.548
Total Nacional;Viajero;Total;2018M09;833.615
Total Nacional;Viajero;Total;2018M08;1.965.971
Total Nacional;Viajero;Total;2018M07;1.548.892
Total Nacional;Viajero;Total;2018M06;959.068
Total Nacional;Viajero;Total;2018M05;595.744
Total Nacional;Viajero;Total;2018M04;506.722
Total Nacional;Viajero;Total;2018M03;417.647
Total Nacional;Viajero;Total;2018M02;150.770
Total Nacional;Viajero;Total;2018M01;123.538
Total Nacional;Viajero;Total;2017M12;162.619
Total Nacional;Viajero;Total;2017M11;158.334
Total Nacional;Viajero;Total;2017M10;384.601
Total Nacional;Viajero;Total;2017M09;811.165
Total Nacional;Viajero;Total;2017M08;1.932.149
Total Nacional;Viajero;Total;2017M07;1.608.655
Total Nacional;Viajero;Total;2017M06;978.369
Total Nacional;Viajero;Total;2017M05;573.458
Total Nacional;Viajero;Total;2017M04;729.910
Total Nacional;Viajero;Total;2017M03;251.201
Total Nacional;Viajero;Total;2017M02;152.206
Total Nacional;Viajero;Total;2017M01;126.522
Total Nacional;Viajero;Residentes en España;2023M02;123.246
Total Nacional;Viajero;Residentes en España;2023M01;88.390
Total Nacional;Viajero;Residentes en España;2022M12;142.156
Total Nacional;Viajero;Residentes en España;2022M11;132.080
Total Nacional;Viajero;Residentes en España;2022M10;365.586
Total Nacional;Viajero;Residentes en España;2022M09;611.808
Total Nacional;Viajero;Residentes en España;2022M08;1.484.933
Total Nacional;Viajero;Residentes en España;2022M07;1.253.504
Total Nacional;Viajero;Residentes en España;2022M06;938.176
Total Nacional;Viajero;Residentes en España;2022M05;510.778
Total Nacional;Viajero;Residentes en España;2022M04;596.369
Total Nacional;Viajero;Residentes en España;2022M03;152.052
Total Nacional;Viajero;Residentes en España;2022M02;141.025
Total Nacional;Viajero;Residentes en España;2022M01;99.283
Total Nacional;Viajero;Residentes en España;2021M12;140.488
Total Nacional;Viajero;Residentes en España;2021M11;125.550
Total Nacional;Viajero;Residentes en España;2021M10;391.457
Total Nacional;Viajero;Residentes en España;2021M09;650.829
Total Nacional;Viajero;Residentes en España;2021M08;1.686.168
Total Nacional;Viajero;Residentes en España;2021M07;1.340.895
Total Nacional;Viajero;Residentes en España;2021M06;849.362
Total Nacional;Viajero;Residentes en España;2021M05;465.499
Total Nacional;Viajero;Residentes en España;2021M04;294.786
Total Nacional;Viajero;Residentes en España;2021M03;180.953
Total Nacional;Viajero;Residentes en España;2021M02;43.051
Total Nacional;Viajero;Residentes en España;2021M01;31.838
Total Nacional;Viajero;Residentes en España;2020M12;69.201
Total Nacional;Viajero;Residentes en España;2020M11;.
Total Nacional;Viajero;Residentes en España;2020M10;242.288
Total Nacional;Viajero;Residentes en España;2020M09;549.738
Total Nacional;Viajero;Residentes en España;2020M08;1.351.549
Total Nacional;Viajero;Residentes en España;2020M07;998.134
Total Nacional;Viajero;Residentes en España;2020M06;347.488
Total Nacional;Viajero;Residentes en España;2020M05;.
Total Nacional;Viajero;Residentes en España;2020M04;0
Total Nacional;Viajero;Residentes en España;2020M03;42.819
Total Nacional;Viajero;Residentes en España;2020M02;137.942
Total Nacional;Viajero;Residentes en España;2020M01;77.307
Total Nacional;Viajero;Residentes en España;2019M12;130.922
Total Nacional;Viajero;Residentes en España;2019M11;136.078
Total Nacional;Viajero;Residentes en España;2019M10;260.311
Total Nacional;Viajero;Residentes en España;2019M09;496.646
Total Nacional;Viajero;Residentes en España;2019M08;1.451.555
Total Nacional;Viajero;Residentes en España;2019M07;1.026.395
Total Nacional;Viajero;Residentes en España;2019M06;795.042
Total Nacional;Viajero;Residentes en España;2019M05;393.803
Total Nacional;Viajero;Residentes en España;2019M04;454.820
Total Nacional;Viajero;Residentes en España;2019M03;202.342
Total Nacional;Viajero;Residentes en España;2019M02;106.396
Total Nacional;Viajero;Residentes en España;2019M01;65.871
Total Nacional;Viajero;Residentes en España;2018M12;121.602
Total Nacional;Viajero;Residentes en España;2018M11;127.005
Total Nacional;Viajero;Residentes en España;2018M10;251.180
Total Nacional;Viajero;Residentes en España;2018M09;537.141
Total Nacional;Viajero;Residentes en España;2018M08;1.355.065
Total Nacional;Viajero;Residentes en España;2018M07;994.071
Total Nacional;Viajero;Residentes en España;2018M06;661.579
Total Nacional;Viajero;Residentes en España;2018M05;336.580
Total Nacional;Viajero;Residentes en España;2018M04;329.027
Total Nacional;Viajero;Residentes en España;2018M03;309.192
Total Nacional;Viajero;Residentes en España;2018M02;88.907
Total Nacional;Viajero;Residentes en España;2018M01;68.000
Total Nacional;Viajero;Residentes en España;2017M12;118.158
Total Nacional;Viajero;Residentes en España;2017M11;103.360
Total Nacional;Viajero;Residentes en España;2017M10;245.632
Total Nacional;Viajero;Residentes en España;2017M09;496.892
Total Nacional;Viajero;Residentes en España;2017M08;1.312.489
Total Nacional;Viajero;Residentes en España;2017M07;1.033.155
Total Nacional;Viajero;Residentes en España;2017M06;692.842
Total Nacional;Viajero;Residentes en España;2017M05;341.874
Total Nacional;Viajero;Residentes en España;2017M04;541.831
Total Nacional;Viajero;Residentes en España;2017M03;163.295
Total Nacional;Viajero;Residentes en España;2017M02;96.089
Total Nacional;Viajero;Residentes en España;2017M01;69.534
Total Nacional;Viajero;Residentes en el Extranjero;2023M02;96.694
Total Nacional;Viajero;Residentes en el Extranjero;2023M01;97.235
Total Nacional;Viajero;Residentes en el Extranjero;2022M12;72.074
Total Nacional;Viajero;Residentes en el Extranjero;2022M11;90.420
Total Nacional;Viajero;Residentes en el Extranjero;2022M10;214.417
Total Nacional;Viajero;Residentes en el Extranjero;2022M09;355.037
Total Nacional;Viajero;Residentes en el Extranjero;2022M08;628.706
Total Nacional;Viajero;Residentes en el Extranjero;2022M07;603.276
Total Nacional;Viajero;Residentes en el Extranjero;2022M06;333.251
Total Nacional;Viajero;Residentes en el Extranjero;2022M05;284.817
Total Nacional;Viajero;Residentes en el Extranjero;2022M04;219.290
Total Nacional;Viajero;Residentes en el Extranjero;2022M03;114.415
Total Nacional;Viajero;Residentes en el Extranjero;2022M02;85.724
Total Nacional;Viajero;Residentes en el Extranjero;2022M01;77.925
Total Nacional;Viajero;Residentes en el Extranjero;2021M12;63.792
Total Nacional;Viajero;Residentes en el Extranjero;2021M11;78.875
Total Nacional;Viajero;Residentes en el Extranjero;2021M10;174.451
Total Nacional;Viajero;Residentes en el Extranjero;2021M09;245.333
Total Nacional;Viajero;Residentes en el Extranjero;2021M08;363.259
Total Nacional;Viajero;Residentes en el Extranjero;2021M07;283.266
Total Nacional;Viajero;Residentes en el Extranjero;2021M06;94.740
Total Nacional;Viajero;Residentes en el Extranjero;2021M05;50.753
Total Nacional;Viajero;Residentes en el Extranjero;2021M04;26.993
Total Nacional;Viajero;Residentes en el Extranjero;2021M03;17.335
Total Nacional;Viajero;Residentes en el Extranjero;2021M02;8.889
Total Nacional;Viajero;Residentes en el Extranjero;2021M01;13.210
Total Nacional;Viajero;Residentes en el Extranjero;2020M12;11.505
Total Nacional;Viajero;Residentes en el Extranjero;2020M11;.
Total Nacional;Viajero;Residentes en el Extranjero;2020M10;35.044
Total Nacional;Viajero;Residentes en el Extranjero;2020M09;53.648
Total Nacional;Viajero;Residentes en el Extranjero;2020M08;133.152
Total Nacional;Viajero;Residentes en el Extranjero;2020M07;167.071
Total Nacional;Viajero;Residentes en el Extranjero;2020M06;16.392
Total Nacional;Viajero;Residentes en el Extranjero;2020M05;.
Total Nacional;Viajero;Residentes en el Extranjero;2020M04;0
Total Nacional;Viajero;Residentes en el Extranjero;2020M03;40.511
Total Nacional;Viajero;Residentes en el Extranjero;2020M02;78.845
Total Nacional;Viajero;Residentes en el Extranjero;2020M01;68.085
Total Nacional;Viajero;Residentes en el Extranjero;2019M12;55.995
Total Nacional;Viajero;Residentes en el Extranjero;2019M11;70.074
Total Nacional;Viajero;Residentes en el Extranjero;2019M10;169.350
Total Nacional;Viajero;Residentes en el Extranjero;2019M09;318.763
Total Nacional;Viajero;Residentes en el Extranjero;2019M08;627.784
Total Nacional;Viajero;Residentes en el Extranjero;2019M07;526.857
Total Nacional;Viajero;Residentes en el Extranjero;2019M06;321.396
Total Nacional;Viajero;Residentes en el Extranjero;2019M05;278.033
Total Nacional;Viajero;Residentes en el Extranjero;2019M04;188.030
Total Nacional;Viajero;Residentes en el Extranjero;2019M03;106.332
Total Nacional;Viajero;Residentes en el Extranjero;2019M02;62.298
Total Nacional;Viajero;Residentes en el Extranjero;2019M01;59.148
Total Nacional;Viajero;Residentes en el Extranjero;2018M12;50.715
Total Nacional;Viajero;Residentes en el Extranjero;2018M11;56.522
Total Nacional;Viajero;Residentes en el Extranjero;2018M10;158.367
Total Nacional;Viajero;Residentes en el Extranjero;2018M09;296.474
Total Nacional;Viajero;Residentes en el Extranjero;2018M08;610.906
Total Nacional;Viajero;Residentes en el Extranjero;2018M07;554.821
Total Nacional;Viajero;Residentes en el Extranjero;2018M06;297.489
Total Nacional;Viajero;Residentes en el Extranjero;2018M05;259.165
Total Nacional;Viajero;Residentes en el Extranjero;2018M04;177.694
Total Nacional;Viajero;Residentes en el Extranjero;2018M03;108.455
Total Nacional;Viajero;Residentes en el Extranjero;2018M02;61.863
Total Nacional;Viajero;Residentes en el Extranjero;2018M01;55.538
Total Nacional;Viajero;Residentes en el Extranjero;2017M12;44.462
Total Nacional;Viajero;Residentes en el Extranjero;2017M11;54.974
Total Nacional;Viajero;Residentes en el Extranjero;2017M10;138.969
Total Nacional;Viajero;Residentes en el Extranjero;2017M09;314.272
Total Nacional;Viajero;Residentes en el Extranjero;2017M08;619.659
Total Nacional;Viajero;Residentes en el Extranjero;2017M07;575.500
Total Nacional;Viajero;Residentes en el Extranjero;2017M06;285.528
Total Nacional;Viajero;Residentes en el Extranjero;2017M05;231.584
Total Nacional;Viajero;Residentes en el Extranjero;2017M04;188.079
Total Nacional;Viajero;Residentes en el Extranjero;2017M03;87.906
Total Nacional;Viajero;Residentes en el Extranjero;2017M02;56.117
Total Nacional;Viajero;Residentes en el Extranjero;2017M01;56.989
Total Nacional;Pernoctaciones;Total;2023M02;1.416.274
Total Nacional;Pernoctaciones;Total;2023M01;1.358.380
Total Nacional;Pernoctaciones;Total;2022M12;1.350.641
Total Nacional;Pernoctaciones;Total;2022M11;1.255.293
Total Nacional;Pernoctaciones;Total;2022M10;2.501.413
Total Nacional;Pernoctaciones;Total;2022M09;4.262.125
Total Nacional;Pernoctaciones;Total;2022M08;11.254.378
Total Nacional;Pernoctaciones;Total;2022M07;9.048.822
Total Nacional;Pernoctaciones;Total;2022M06;4.999.095
Total Nacional;Pernoctaciones;Total;2022M05;3.086.015
Total Nacional;Pernoctaciones;Total;2022M04;3.151.059
Total Nacional;Pernoctaciones;Total;2022M03;1.393.563
Total Nacional;Pernoctaciones;Total;2022M02;1.336.135
Total Nacional;Pernoctaciones;Total;2022M01;1.252.438
