Operación;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;;2025M02;2,82
Encuesta de Ocupación Hotelera;Total Nacional;;2025M01;2,93
Encuesta de Ocupación Hotelera;Total Nacional;;2024M12;2,75
Encuesta de Ocupación Hotelera;Total Nacional;;2024M11;2,8
Encuesta de Ocupación Hotelera;Total Nacional;;2024M10;3,15
Encuesta de Ocupación Hotelera;Total Nacional;;2024M09;3,3
Encuesta de Ocupación Hotelera;Total Nacional;;2024M08;3,53
Encuesta de Ocupación Hotelera;Total Nacional;;2024M07;3,47
Encuesta de Ocupación Hotelera;Total Nacional;;2024M06;3,21
Encuesta de Ocupación Hotelera;Total Nacional;;2024M05;3,04
Encuesta de Ocupación Hotelera;Total Nacional;;2024M04;2,89
Encuesta de Ocupación Hotelera;Total Nacional;;2024M03;2,9
Encuesta de Ocupación Hotelera;Total Nacional;;2024M02;2,85
Encuesta de Ocupación Hotelera;Total Nacional;;2024M01;2,91
Encuesta de Ocupación Hotelera;Total Nacional;;2023M12;2,72
Encuesta de Ocupación Hotelera;Total Nacional;;2023M11;2,8
Encuesta de Ocupación Hotelera;Total Nacional;;2023M10;3,12
Encuesta de Ocupación Hotelera;Total Nacional;;2023M09;3,27
Encuesta de Ocupación Hotelera;Total Nacional;;2023M08;3,52
Encuesta de Ocupación Hotelera;Total Nacional;;2023M07;3,4
Encuesta de Ocupación Hotelera;Total Nacional;;2023M06;3,14
Encuesta de Ocupación Hotelera;Total Nacional;;2023M05;3,04
Encuesta de Ocupación Hotelera;Total Nacional;;2023M04;2,85
Encuesta de Ocupación Hotelera;Total Nacional;;2023M03;2,8
Encuesta de Ocupación Hotelera;Total Nacional;;2023M02;2,82
Encuesta de Ocupación Hotelera;Total Nacional;;2023M01;2,88
Encuesta de Ocupación Hotelera;Total Nacional;;2022M12;2,75
Encuesta de Ocupación Hotelera;Total Nacional;;2022M11;2,81
Encuesta de Ocupación Hotelera;Total Nacional;;2022M10;3,07
Encuesta de Ocupación Hotelera;Total Nacional;;2022M09;3,26
Encuesta de Ocupación Hotelera;Total Nacional;;2022M08;3,58
Encuesta de Ocupación Hotelera;Total Nacional;;2022M07;3,43
