Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;;Viajero;Total;;2025M02;246.112
Total Nacional;;Viajero;Total;;2025M01;199.661
Total Nacional;;Viajero;Total;;2024M12;240.130
Total Nacional;;Viajero;Total;;2024M11;257.872
Total Nacional;;Viajero;Total;;2024M10;588.775
Total Nacional;;Viajero;Total;;2024M09;1.079.320
Total Nacional;;Viajero;Total;;2024M08;2.191.697
Total Nacional;;Viajero;Total;;2024M07;1.893.246
Total Nacional;;Viajero;Total;;2024M06;1.270.158
Total Nacional;;Viajero;Total;;2024M05;981.021
Total Nacional;;Viajero;Total;;2024M04;675.476
Total Nacional;;Viajero;Total;;2024M03;638.004
Total Nacional;;Viajero;Total;;2024M02;240.985
Total Nacional;;Viajero;Total;;2024M01;191.660
Total Nacional;;Viajero;Total;;2023M12;241.424
Total Nacional;;Viajero;Total;;2023M11;247.494
Total Nacional;;Viajero;Total;;2023M10;606.747
Total Nacional;;Viajero;Total;;2023M09;1.056.921
Total Nacional;;Viajero;Total;;2023M08;2.193.173
Total Nacional;;Viajero;Total;;2023M07;1.876.968
Total Nacional;;Viajero;Total;;2023M06;1.244.721
Total Nacional;;Viajero;Total;;2023M05;784.273
Total Nacional;;Viajero;Total;;2023M04;996.635
Total Nacional;;Viajero;Total;;2023M03;360.972
Total Nacional;;Viajero;Total;;2023M02;220.493
Total Nacional;;Viajero;Total;;2023M01;186.516
Total Nacional;;Viajero;Total;;2022M12;214.331
Total Nacional;;Viajero;Total;;2022M11;221.087
Total Nacional;;Viajero;Total;;2022M10;566.305
Total Nacional;;Viajero;Total;;2022M09;978.753
Total Nacional;;Viajero;Total;;2022M08;2.108.741
Total Nacional;;Viajero;Total;;2022M07;1.849.693
Total Nacional;;Viajero;Total;;2022M06;1.240.074
Total Nacional;;Viajero;Total;;2022M05;784.790
Total Nacional;;Viajero;Total;;2022M04;804.711
Total Nacional;;Viajero;Total;;2022M03;267.576
Total Nacional;;Viajero;Total;;2022M02;226.749
Total Nacional;;Viajero;Total;;2022M01;177.207
Total Nacional;;Viajero;Total;;2021M12;204.280
Total Nacional;;Viajero;Total;;2021M11;204.424
Total Nacional;;Viajero;Total;;2021M10;565.908
Total Nacional;;Viajero;Total;;2021M09;896.162
Total Nacional;;Viajero;Total;;2021M08;2.049.427
Total Nacional;;Viajero;Total;;2021M07;1.624.160
Total Nacional;;Viajero;Total;;2021M06;944.102
Total Nacional;;Viajero;Total;;2021M05;516.252
Total Nacional;;Viajero;Total;;2021M04;321.779
Total Nacional;;Viajero;Total;;2021M03;198.288
Total Nacional;;Viajero;Total;;2021M02;51.940
Total Nacional;;Viajero;Total;;2021M01;45.048
Total Nacional;;Viajero;Total;;2020M12;80.706
Total Nacional;;Viajero;Total;;2020M11;49.739
Total Nacional;;Viajero;Total;;2020M10;277.333
Total Nacional;;Viajero;Total;;2020M09;603.385
Total Nacional;;Viajero;Total;;2020M08;1.484.702
Total Nacional;;Viajero;Total;;2020M07;1.165.205
Total Nacional;;Viajero;Total;;2020M06;363.880
Total Nacional;;Viajero;Total;;2020M05;19.014
Total Nacional;;Viajero;Total;;2020M04;0
Total Nacional;;Viajero;Total;;2020M03;83.330
Total Nacional;;Viajero;Total;;2020M02;216.787
Total Nacional;;Viajero;Total;;2020M01;145.392
Total Nacional;;Viajero;Total;;2019M12;186.917
Total Nacional;;Viajero;Total;;2019M11;206.152
Total Nacional;;Viajero;Total;;2019M10;429.661
Total Nacional;;Viajero;Total;;2019M09;815.409
Total Nacional;;Viajero;Total;;2019M08;2.079.339
Total Nacional;;Viajero;Total;;2019M07;1.553.253
Total Nacional;;Viajero;Total;;2019M06;1.116.439
Total Nacional;;Viajero;Total;;2019M05;671.835
Total Nacional;;Viajero;Total;;2019M04;642.851
Total Nacional;;Viajero;Total;;2019M03;308.674
Total Nacional;;Viajero;Total;;2019M02;168.693
Total Nacional;;Viajero;Total;;2019M01;125.019
Total Nacional;;Viajero;Total;;2018M12;172.317
Total Nacional;;Viajero;Total;;2018M11;183.527
Total Nacional;;Viajero;Total;;2018M10;409.548
Total Nacional;;Viajero;Total;;2018M09;833.615
Total Nacional;;Viajero;Total;;2018M08;1.965.971
Total Nacional;;Viajero;Total;;2018M07;1.548.892
Total Nacional;;Viajero;Total;;2018M06;959.068
Total Nacional;;Viajero;Total;;2018M05;595.744
Total Nacional;;Viajero;Total;;2018M04;506.722
Total Nacional;;Viajero;Total;;2018M03;417.647
Total Nacional;;Viajero;Total;;2018M02;150.770
Total Nacional;;Viajero;Total;;2018M01;123.538
Total Nacional;;Viajero;Total;;2017M12;162.619
Total Nacional;;Viajero;Total;;2017M11;158.334
Total Nacional;;Viajero;Total;;2017M10;384.601
Total Nacional;;Viajero;Total;;2017M09;811.165
Total Nacional;;Viajero;Total;;2017M08;1.932.149
Total Nacional;;Viajero;Total;;2017M07;1.608.655
Total Nacional;;Viajero;Total;;2017M06;978.369
Total Nacional;;Viajero;Total;;2017M05;573.458
Total Nacional;;Viajero;Total;;2017M04;729.910
Total Nacional;;Viajero;Total;;2017M03;251.201
Total Nacional;;Viajero;Total;;2017M02;152.206
Total Nacional;;Viajero;Total;;2017M01;126.522
Total Nacional;;Viajero;Total;;2016M12;150.829
Total Nacional;;Viajero;Total;;2016M11;146.465
Total Nacional;;Viajero;Total;;2016M10;350.383
Total Nacional;;Viajero;Total;;2016M09;733.232
Total Nacional;;Viajero;Total;;2016M08;1.928.588
Total Nacional;;Viajero;Total;;2016M07;1.570.298
